sampleID,sampleLat,sampleLon,year,window_years,fc,t2m_mean,t2m_var,t2m_ac,tp_mean,tp_var,tp_ac,def_mean,def_var,def_ac,ssrd_mean,ssrd_var,ssrd_ac,TAC_EVI_bimonthly_24,Coef1,Coef2,Coef3,Coef4,Coef5,Coef6,Coef7,Coef8,diff,eTAC
3,-3.94981488,-73.44000278,2008,4,100,298.5732524,0.383457856,0.37222915,0.006996458,4.01793881599728e-06,0.055202549,-0.003248082,4.61343456246258e-06,0.083479995,16715793.42,2.89033E+12,0.314871311,0.376198393,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,-0.005449793,0.381648186
3,-3.94981488,-73.44000278,2009,4,100,298.5083923,0.403412737,0.340765576,0.007251934,4.82201681719454e-06,0.117195505,-0.003540488,5.41969188650172e-06,0.127194397,16545897.71,2.91195E+12,0.277207215,0.369865029,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,0.009039807,0.360825222
3,-3.94981488,-73.44000278,2010,4,100,298.6080271,0.471873486,0.337507879,0.007255866,5.2804957134324e-06,0.141869601,-0.003551597,6.01986108170331e-06,0.133900639,16515662.9,3.12895E+12,0.217511593,0.322228518,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,0.010761826,0.311466692
3,-3.94981488,-73.44000278,2011,4,100,298.5708567,0.39648936,0.401648687,0.007440123,5.306340338635e-06,0.180467703,-0.003744537,6.18563799353268e-06,0.168672171,16368069.15,3.38238E+12,0.23690607,0.286741044,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,0.011282944,0.2754581
3,-3.94981488,-73.44000278,2012,4,100,298.5726522,0.376651885,0.469495442,0.007557308,6.43516938580736e-06,0.172864723,-0.003859024,7.48574623258206e-06,0.165309541,16336100.54,3.27372E+12,0.288875682,0.270227417,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,0.021203456,0.249023961
3,-3.94981488,-73.44000278,2013,4,100,298.5617523,0.380517567,0.570106358,0.00747,5.58299280987864e-06,0.163653232,-0.003761608,6.60869125958565e-06,0.168839197,16348227,3.28886E+12,0.347811449,0.206086722,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,-0.000922822,0.207009544
3,-3.94981488,-73.44000278,2014,4,100,298.4208018,0.275266705,0.59467028,0.007693014,4.91986976315281e-06,0.129214484,-0.004032787,5.9177091206884e-06,0.150850472,16105459.67,3.06162E+12,0.381630092,0.067546296,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,0.004142716,0.06340358
3,-3.94981488,-73.44000278,2015,4,100,298.4914653,0.386040429,0.521328253,0.007834516,5.55603871565985e-06,0.082845324,-0.00418476,7.02558519035208e-06,0.109525614,16050913.42,3.59418E+12,0.284605188,-0.041606986,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,-0.013618202,-0.027988784
3,-3.94981488,-73.44000278,2016,4,100,298.6331838,0.503872767,0.465991801,0.00787311,5.26103369736219e-06,0.065974555,-0.004224499,6.68909868997192e-06,0.096940941,16001709.13,3.91427E+12,0.206332904,-0.103252969,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,0.017958516,-0.121211485
3,-3.94981488,-73.44000278,2017,4,100,298.7339681,0.450778412,0.38993211,0.007852578,6.65811026465633e-06,0.069839181,-0.00418085,8.15320696086898e-06,0.093999346,16075857.5,3.55088E+12,0.153985188,-0.087752915,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,-0.013616252,-0.074136663
3,-3.94981488,-73.44000278,2018,4,100,298.7587026,0.489790327,0.34948588,0.00782099,7.0540858860051e-06,0.104998367,-0.004134029,8.62297449026219e-06,0.121388785,16102610.19,3.79451E+12,0.137070809,0.042350657,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,-0.007801559,0.050152215
3,-3.94981488,-73.44000278,2019,4,100,298.7628072,0.397648235,0.36593992,0.007844658,7.38067532038098e-06,0.136986574,-0.004150599,8.56831838050283e-06,0.15028995,16066894.94,3.04786E+12,0.180482966,0.148838808,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,-0.004443299,0.153282107
3,-3.94981488,-73.44000278,2020,4,100,298.7936859,0.345871224,0.332724558,0.007456614,7.0701613956926e-06,0.167598832,-0.003735402,8.32721414131937e-06,0.177107196,16191057.08,3.2481E+12,0.184044962,0.238815669,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,0.003610319,0.235205349
3,-3.94981488,-73.44000278,2021,4,100,298.7623749,0.390657428,0.300322953,0.007628404,7.40001835918501e-06,0.144853065,-0.003887621,8.56802121695362e-06,0.159634289,16271721.06,3.82077E+12,0.196993813,0.320969454,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,0.011711615,0.309257839
3,-3.94981488,-73.44000278,2022,4,100,298.8049011,0.405115839,0.283717802,0.007201909,9.43361826450431e-06,0.119858288,-0.003656374,9.00319517265953e-06,0.134970936,15475444.91,1.12902E+13,0.23651504,0.385956994,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,0.0181144,0.367842594
3,-3.94981488,-73.44000278,2023,4,100,298.9545644,0.649460811,0.282445061,0.005873147,1.00865322062932e-05,0.201510578,-0.002941921,7.01421244482469e-06,0.13515917,12882378.76,2.96216E+13,0.405591566,0.470850666,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,0.003479284,0.467371382
3,-3.94981488,-73.44000278,2024,4,100,299.1410522,0.870945021,0.369435645,0.005854093,1.24695609267018e-05,0.306815227,-0.003027619,9.20952400559136e-06,0.142692436,12555869.68,3.3149E+13,0.59468841,0.517426493,-27106.92188,0.044443127,235.6694794,-143.9772491,-140.0601654,-41.35111237,15.88665771,0,-0.040280424,0.557706916
4,-3.95000627,-73.44026569,2000,4,98,297.9804484,0.52765047,NaN,0.007729567,2.72721032033341e-06,NaN,-0.004177573,3.23722363263282e-06,NaN,16014856.33,4.31517E+12,NaN,NaN,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,NaN,NaN
4,-3.95000627,-73.44026569,2001,4,98,298.0622762,0.545425446,NaN,0.007466685,3.53612246820631e-06,NaN,-0.003904698,4.01162646843582e-06,NaN,16163969.79,3.80533E+12,NaN,NaN,-31626.71875,0.050783876,154.6465302,-150.2054443,-39.48398209,-15.38160324,0,0,NaN,NaN
