sampleID,sampleLat,sampleLon,year,window_years,fc,t2m_mean,t2m_var,t2m_ac,tp_mean,tp_var,tp_ac,def_mean,def_var,def_ac,ssrd_mean,ssrd_var,ssrd_ac,TAC_NIRv_bimonthly_24,Coef1,Coef2,Coef3,Coef4,Coef5,Coef6,Coef7,Coef8,diff,eTAC
14,-1.71023726,-51.44998838,2017,4,100,299.969279,1.823728423,0.507830664,0.006078737,2.47E-05,0.247529046,-0.002657014,2.60E-05,0.230674915,17743896.75,1.13472E+13,0.382383465,0.534887397,8678.920898,-0.008825583,0,-219.5818176,-7.017648697,0,-42.0074234,-38.15948105,-0.001054389,0.535941786
14,-1.71023726,-51.44998838,2018,4,100,299.9823354,1.815505544,0.617523897,0.006021706,2.29E-05,0.269143592,-0.002588442,2.41E-05,0.242501057,17745203.13,1.04691E+13,0.388025723,0.574629409,8678.920898,-0.008825583,0,-219.5818176,-7.017648697,0,-42.0074234,-38.15948105,0.017460478,0.557168931
14,-1.71023726,-51.44998838,2019,4,100,299.9238586,1.545579245,0.696401527,0.006024057,2.10E-05,0.315017037,-0.002599701,2.24E-05,0.27872854,17486870.08,1.07405E+13,0.335988641,0.551905833,8678.920898,-0.008825583,0,-219.5818176,-7.017648697,0,-42.0074234,-38.15948105,0.007837929,0.544067904
14,-1.71023726,-51.44998838,2020,4,100,299.8624522,1.649173447,0.628494346,0.006138904,2.18E-05,0.341747078,-0.002748784,2.33E-05,0.315930536,17361890.69,1.16192E+13,0.272136942,0.490262884,8678.920898,-0.008825583,0,-219.5818176,-7.017648697,0,-42.0074234,-38.15948105,-0.012053288,0.502316172
14,-1.71023726,-51.44998838,2021,4,100,299.7881317,1.438450229,0.520727057,0.005986574,1.70E-05,0.315532543,-0.00253814,1.86E-05,0.292588093,17307530.25,1.05576E+13,0.185649175,0.38782637,8678.920898,-0.008825583,0,-219.5818176,-7.017648697,0,-42.0074234,-38.15948105,-0.054627849,0.442454219
14,-1.71023726,-51.44998838,2022,4,100,299.7816671,1.359192658,0.419566958,0.006239619,2.29E-05,0.257649257,-0.002948132,2.36E-05,0.227443865,16264704.29,1.59897E+13,0.144985373,0.219714259,8678.920898,-0.008825583,0,-219.5818176,-7.017648697,0,-42.0074234,-38.15948105,-0.085070215,0.304784474
14,-1.71023726,-51.44998838,2023,4,100,299.9321035,1.859592304,0.387305794,0.005482374,2.31E-05,0.249832542,-0.00268545,2.13E-05,0.180543124,13701955.59,2.82598E+13,0.306471961,0.144742057,8678.920898,-0.008825583,0,-219.5818176,-7.017648697,0,-42.0074234,-38.15948105,-0.054698393,0.19944045
14,-1.71023726,-51.44998838,2024,4,100,300.1640422,2.226503014,0.463484594,0.004922814,2.22E-05,0.274889602,-0.002243826,2.02E-05,0.158160725,13520817.26,3.27669E+13,0.485521004,0.123022523,8678.920898,-0.008825583,0,-219.5818176,-7.017648697,0,-42.0074234,-38.15948105,0.008370136,0.114652387
15,-1.7100037,-51.45030739,2000,4,100,298.7610474,2.067884978,NaN,0.006995607,3.04E-05,NaN,-0.003816642,3.27E-05,NaN,16641534.67,1.7897E+13,NaN,NaN,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,NaN,NaN
15,-1.7100037,-51.45030739,2001,4,100,298.9186401,2.17478137,NaN,0.006397014,2.36E-05,NaN,-0.003164885,2.52E-05,NaN,16891357.88,1.56854E+13,NaN,NaN,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,NaN,NaN
15,-1.7100037,-51.45030739,2002,4,100,299.1298557,2.109393317,NaN,0.006350659,2.49E-05,NaN,-0.003146597,2.53E-05,NaN,17218752.22,1.44121E+13,NaN,NaN,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,NaN,NaN
15,-1.7100037,-51.45030739,2003,4,100,299.190801,1.924178557,NaN,0.006229167,2.42E-05,NaN,-0.00298548,2.50E-05,NaN,17230957.94,1.36601E+13,NaN,NaN,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,NaN,NaN
15,-1.7100037,-51.45030739,2004,4,100,299.3867188,1.926772052,0.270330591,0.006095023,2.60E-05,-0.1367603,-0.002822766,2.67E-05,-0.150415037,17423735.67,1.29187E+13,0.155790718,-0.117925661,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,0,-0.117925661
15,-1.7100037,-51.45030739,2005,4,100,299.6102651,1.842128037,0.357012638,0.006272443,3.05E-05,-0.138093005,-0.003042093,3.08E-05,-0.156384046,17589179.73,1.23211E+13,0.226714421,-0.147796494,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,0.01821226,-0.166008754
15,-1.7100037,-51.45030739,2006,4,100,299.5940094,1.916410097,0.368995297,0.006168216,2.89E-05,-0.139613622,-0.002921668,2.98E-05,-0.155617559,17423123.52,1.28762E+13,0.245900081,-0.147796494,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,0.00125474,-0.149051234
15,-1.7100037,-51.45030739,2007,4,100,299.614502,1.822233289,0.381749147,0.006081666,2.77E-05,-0.12081918,-0.002823204,2.85E-05,-0.131077068,17471988.21,1.23792E+13,0.26713734,-0.147796494,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,0.004333868,-0.152130362
15,-1.7100037,-51.45030739,2008,4,100,299.5508321,1.811477722,0.446551456,0.005994617,2.34E-05,-0.106356683,-0.00274209,2.40E-05,-0.113233688,17393683.38,1.1924E+13,0.305085941,-0.183641494,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,0.012180402,-0.195821896
15,-1.7100037,-51.45030739,2009,4,100,299.4709981,2.122956225,0.437349399,0.006540165,3.05E-05,0.005959856,-0.00329767,3.12E-05,0.006780383,17209522.04,1.34816E+13,0.30063406,0.085130966,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,-0.048529108,0.133660074
15,-1.7100037,-51.45030739,2010,4,100,299.6109975,1.884134332,0.486399926,0.00659151,3.11E-05,0.13007733,-0.003265359,3.22E-05,0.136333025,17448305.27,1.23628E+13,0.333480418,0.244438609,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,-0.060641029,0.305079638
15,-1.7100037,-51.45030739,2011,4,100,299.62058,2.155274011,0.541146757,0.007057476,3.68E-05,0.223516709,-0.003744752,3.82E-05,0.229646146,17360390.02,1.30248E+13,0.348282278,0.244438609,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,-0.08541452,0.329853129
15,-1.7100037,-51.45030739,2012,4,100,299.7450562,2.154962688,0.528114106,0.006780741,3.67E-05,0.33224846,-0.003463923,3.75E-05,0.342064102,17625114.98,1.1942E+13,0.369241144,0.244438609,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,-0.030773227,0.275211836
15,-1.7100037,-51.45030739,2013,4,100,299.7063649,1.590964043,0.541000816,0.005956056,2.38E-05,0.327224461,-0.002537556,2.48E-05,0.337472346,17668606.19,9.46633E+12,0.380350304,0.32409243,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,-0.012912265,0.337004696
15,-1.7100037,-51.45030739,2014,4,100,299.5655365,1.783783786,0.468271292,0.005933628,2.33E-05,0.307386006,-0.002590242,2.38E-05,0.316682041,17434158.46,1.05885E+13,0.346676925,0.437179697,10820.25488,-0.011185474,8.481899261,-312.9069519,0,0,0,-41.75429916,0.005982319,0.431197378
