sampleID,sampleLat,sampleLon,t2m_ave,t2m_var,t2m_ac,tp_ave,tp_var,tp_ac,def_ave,def_var,def_ac,ssrd_ave,ssrd_var,ssrd_ac,fc
8908,-12.9,-69.5,297.907492675781,1.53520986917625,0.257880732779779,0.00717082405957626,2.63077858265519e-05,0.0348995980576307,0.0107901208291878,2.99182748763811e-05,0.0704326855278846,16041698.4983333,10685578181795.6,0.108291614315313,98
8909,-10.8,-68,298.455454915365,1.14334596368315,0.29309273476425,0.00504103581469584,1.21669027611587e-05,0.0595085007095723,0.00845922887529014,1.6338457457569e-05,0.142836052189503,16904535.495,10394504751380,0.226884118071486,100
8910,-4.9,-50.9,299.341991373698,2.49656552466993,0.474892809167519,0.00499183252020885,1.82104708686383e-05,0.170169383034906,0.00785394673268456,2.07489420264771e-05,0.221344877985396,16846864.515,14428976824643,0.334246635899324,0
8911,-22.1,-45.6,292.736646321615,5.34876083398676,0.17442868877069,0.0034256226120336,8.70276458133432e-06,0.0320020041982788,0.00582013831794939,1.31309474207222e-05,0.107593836415976,16909295.5616667,13669883284918.7,0.126437617925215,0
8912,-6.1,-75.6,298.550083821615,0.643715643730584,0.48395177302447,0.00668249289970845,9.11845456877143e-06,0.179261687429311,0.0104660462479418,1.03593946253155e-05,0.215728234256879,16541237.8916667,10502363041355.4,0.311986578837884,100
8914,-2.6,-77,297.849973144531,0.657524555616554,0.391351066213749,0.00816043805641433,7.1783570092926e-06,0.0621063025781379,0.0116984890432407,8.4130508291044e-06,0.0843189868017746,15470296.0716667,10755975161760,0.24512173988408,97
8917,-16.5,-65.1,297.303339029948,3.96581878686762,0.156360074106794,0.00637837980650753,1.7864302128894e-05,0.165538982618096,0.0100801951974669,2.26197641888926e-05,0.204861070304455,15701063.035,12730216733133.4,0.239606249444449,100
8920,0.4,-74.6,298.061939290365,0.793179150926761,0.253332098670373,0.0074767996937347,8.39507647450705e-06,0.0677320799728094,0.0110521327184203,8.33264935913543e-06,0.100039014881423,15655398.1516667,11752304317290.5,0.0930932682956629,100
8925,-2.1,-57.2,299.301437988281,1.77747436195114,0.569739536984793,0.00764422550916303,2.49687587730401e-05,0.173000620913458,0.0110834711227653,2.35276814519383e-05,0.22165001701847,15992012.195,14010017177653.4,0.348358846505686,98
8926,-22.6,-42.5,295.901060384115,5.47245612695398,0.183530096067684,0.00555511002622855,1.96005955444315e-05,0.0513682024151934,0.00877369255487186,2.55801760693636e-05,0.0942396972313137,16873498.1233333,17659379281713.2,0.148503710399395,0
