sampleID,sampleLon,sampleLat,FC
241,-51.4000000000008,-3.09999999999998,97
242,-67.5000000000008,-3.09999999999998,100
243,-68.9000000000007,-21.8,0
244,-68.3000000000008,-18.3,0
245,-64.900000000001,-17.8,0
246,-43.9000000000007,-15.6999999999999,0
247,-46.5000000000008,-17.0999999999999,0
248,-60.100000000001,-23.8,97
249,-74.0000000000005,-6.49999999999997,100
250,-57.0000000000009,-21.7,0
251,-58.3000000000009,-5.79999999999997,100
252,-79.7000000000001,-1.69999999999997,14
253,-59.800000000001,4.30000000000003,100
254,-68.2000000000008,-16.3999999999999,0
255,-61.500000000001,3.10000000000003,100
256,-69.6000000000007,9.20000000000001,71
257,-44.0000000000007,-12.8999999999999,58
258,-70.3000000000007,-7.69999999999996,100
259,-54.6000000000009,-11.5,100
260,-69.7000000000007,-12.4999999999999,100
261,-54.6000000000009,-6.89999999999997,100
262,-67.8000000000008,9.90000000000001,0
263,-62.800000000001,-10.7,0
264,-38.2000000000007,-7.49999999999996,0
265,-74.3000000000004,7.20000000000002,100
266,-50.3000000000008,-22.8,0
267,-39.7000000000007,-5.59999999999997,14
268,-73.6000000000005,-12.9999999999999,100
269,-53.4000000000009,-15.8999999999999,0
270,-55.8000000000009,-14.3999999999999,86
271,-66.0000000000009,2.20000000000003,100
272,-55.5000000000009,-17.6,0
273,-55.8000000000009,-15.0999999999999,0
274,-69.1000000000007,5.60000000000002,0
275,-54.1000000000009,0.900000000000026,100
276,-67.8000000000008,-12.0999999999999,100
277,-42.3000000000007,-13.6999999999999,15
278,-52.7000000000009,-1.49999999999997,97
279,-61.300000000001,-7.69999999999996,100
280,-63.400000000001,-5.39999999999997,100
281,-50.5000000000008,-11.2,0
282,-67.0000000000009,-23,0
283,-41.3000000000007,-5.19999999999997,34
284,-60.800000000001,-20.1,21
285,-53.9000000000009,-18.1,0
286,-66.3000000000009,-10.4,98
287,-64.300000000001,-22.8,98
288,-59.600000000001,-7.19999999999997,100
289,-72.1000000000006,3.50000000000003,0
290,-59.900000000001,-23.1,0
291,-62.500000000001,4.10000000000003,100
292,-51.3000000000008,-18.8,60
293,-40.4000000000007,-7.19999999999997,43
294,-62.400000000001,-5.09999999999997,100
295,-39.8000000000007,-11.6999999999999,0
296,-60.500000000001,-21,86
297,-69.9000000000007,-21.8,0
298,-60.200000000001,-23.5,0
299,-76.6000000000003,2.80000000000003,93
300,-51.4000000000008,-8.79999999999996,98
301,-80.1000000000001,-1.39999999999997,82
302,-58.2000000000009,-6.39999999999997,60
303,-68.7000000000008,2.50000000000003,100
304,-62.500000000001,-17.5,0
305,-48.3000000000008,-24,0
306,-47.0000000000008,-15.8999999999999,0
307,-39.7000000000007,-7.39999999999996,66
308,-58.8000000000009,-0.799999999999974,100
309,-68.0000000000008,5.00000000000002,0
310,-79.2000000000002,-4.19999999999998,17
311,-60.400000000001,5.20000000000002,100
312,-68.8000000000008,-14.2999999999999,96
313,-62.600000000001,4.20000000000003,100
314,-79.3000000000002,-4.39999999999998,96
315,-56.6000000000009,-21.7,0
316,-67.9000000000008,-5.99999999999997,97
317,-43.4000000000007,-14.9999999999999,41
318,-46.1000000000008,-20.5,0
319,-62.800000000001,8.50000000000001,0
320,-69.7000000000007,-12.3999999999999,100
321,-59.100000000001,-0.799999999999974,99
322,-53.7000000000009,-15.4999999999999,0
323,-52.2000000000009,-5.59999999999997,100
324,-64.700000000001,-6.59999999999997,100
325,-54.3000000000009,-17.1999999999999,0
326,-70.5000000000007,-17.7,0
327,-68.2000000000008,6.10000000000002,86
328,-56.3000000000009,-11.2,0
329,-54.4000000000009,-15.2999999999999,0
330,-59.000000000001,-11.5,96
331,-64.000000000001,4.10000000000003,100
332,-43.1000000000007,-18.4,93
333,-67.9000000000008,0.400000000000026,95
334,-74.9000000000004,0.300000000000026,100
335,-71.8000000000006,-2.39999999999998,100
336,-77.5000000000003,-8.29999999999996,0
337,-50.6000000000008,-6.29999999999997,98
338,-54.7000000000009,-11.5,100
339,-75.9000000000003,1.00000000000003,99
340,-73.6000000000005,-15.4999999999999,0
341,-49.4000000000008,-15.7999999999999,0
342,-63.000000000001,-1.99999999999997,100
343,-64.800000000001,3.40000000000003,95
344,-50.2000000000008,-2.19999999999997,100
345,-48.9000000000008,-21.3,0
346,-63.700000000001,-19.3,98
347,-64.300000000001,-12.1999999999999,59
348,-69.1000000000007,-24,0
349,-66.1000000000009,-17.5,0
350,-60.100000000001,-11.8999999999999,100
351,-42.0000000000007,-17.3,76
352,-65.4000000000009,-9.69999999999996,100
353,-40.7000000000007,-17.4,0
354,-65.000000000001,-21.4,0
355,-60.300000000001,-4.99999999999997,100
356,-69.2000000000007,-12.8999999999999,100
357,-50.9000000000008,-8.49999999999996,98
358,-49.2000000000008,-6.19999999999997,0
359,-75.2000000000004,0.500000000000026,0
360,-42.3000000000007,-13.7999999999999,0
361,-49.1000000000008,-14.1999999999999,0
362,-57.6000000000009,-16.7999999999999,89
363,-75.6000000000004,-9.89999999999996,96
364,-55.1000000000009,-2.79999999999998,0
365,-71.2000000000006,-14.9999999999999,0
366,-71.2000000000006,-1.59999999999997,99
367,-62.400000000001,8.80000000000001,0
368,-70.0000000000007,11.9,NaN
369,-47.9000000000008,-5.49999999999997,0
370,-50.1000000000008,-18.9,0
371,-61.800000000001,-22.9,47
372,-42.9000000000007,-22.3,97
373,-50.7000000000008,-21.3,0
374,-58.8000000000009,4.50000000000003,100
375,-69.9000000000007,-21.5,0
376,-58.5000000000009,-19.5,96
377,-73.6000000000005,-15.7999999999999,0
378,-40.9000000000007,-3.29999999999998,69
379,-50.6000000000008,1.70000000000003,0
380,-62.900000000001,-18.5,45
381,-59.900000000001,7.90000000000001,100
382,-67.9000000000008,-4.19999999999998,100
383,-80.5000000000001,-5.69999999999997,0
384,-47.9000000000008,-1.79999999999997,97
385,-48.8000000000008,-3.79999999999998,100
386,-52.2000000000009,3.80000000000003,100
387,-77.5000000000003,-10.9,0
388,-55.2000000000009,-10.4,100
389,-58.2000000000009,-9.59999999999996,100
390,-80.3000000000001,-0.599999999999974,0
391,-37.5000000000006,-5.99999999999997,0
392,-42.0000000000007,-5.69999999999997,0
393,-51.1000000000008,-11.3,0
394,-52.6000000000009,5.00000000000002,100
395,-60.000000000001,-15.7999999999999,15
396,-77.4000000000003,-11.3,0
397,-50.9000000000008,-22.2,0
398,-69.1000000000007,7.00000000000002,0
399,-61.000000000001,6.70000000000002,100
400,-68.4000000000008,-4.79999999999997,100
401,-79.2000000000002,-7.99999999999996,0
402,-54.9000000000009,-9.29999999999996,93
403,-63.900000000001,-22.1,98
404,-63.100000000001,-15.0999999999999,100
405,-70.1000000000007,0.800000000000026,100
406,-49.2000000000008,-9.19999999999996,4
407,-52.8000000000009,-20.2,45
408,-75.3000000000004,-3.69999999999998,100
409,-45.5000000000008,-21.9,0
410,-63.200000000001,1.70000000000003,100
411,-77.4000000000003,8.30000000000001,98
412,-64.100000000001,10.9,NaN
413,-43.5000000000007,-5.89999999999997,96
414,-59.800000000001,-5.89999999999997,100
415,-56.6000000000009,-3.49999999999998,99
416,-52.7000000000009,3.80000000000003,100
417,-64.100000000001,-18.6,44
418,-67.3000000000008,-9.69999999999996,0
419,-38.0000000000007,-9.39999999999996,0
420,-44.2000000000007,-14.9999999999999,74
421,-73.6000000000005,-6.99999999999997,100
422,-44.3000000000007,-4.69999999999997,0
423,-55.6000000000009,-2.99999999999998,100
424,-41.2000000000007,-6.89999999999997,0
425,-62.700000000001,4.90000000000003,100
426,-62.700000000001,5.40000000000002,100
427,-44.5000000000007,-8.49999999999996,49
428,-44.8000000000008,-20.9,0
429,-60.600000000001,-1.79999999999997,100
430,-66.6000000000009,-10.2,100
431,-65.8000000000009,-23.4,0
432,-60.700000000001,-14.9999999999999,100
433,-72.3000000000006,-3.79999999999998,100
434,-77.2000000000003,-0.0999999999999741,100
435,-44.5000000000007,-19,18
436,-74.8000000000004,0.800000000000026,100
437,-70.8000000000006,-18,0
438,-54.4000000000009,-18.8,69
439,-66.7000000000009,0.500000000000026,100
440,-46.0000000000008,-7.49999999999996,26
441,-52.1000000000009,-10.2,93
442,-76.3000000000003,-12.9999999999999,0
443,-51.7000000000008,-16.8999999999999,0
444,-53.3000000000009,5.20000000000002,100
445,-43.7000000000007,-16.2999999999999,0
446,-42.8000000000007,-10.2,0
447,-66.5000000000009,-0.599999999999974,100
448,-61.600000000001,-4.69999999999997,100
449,-72.7000000000005,7.50000000000002,92
450,-74.5000000000004,2.70000000000003,100
451,-59.100000000001,0.700000000000026,100
452,-72.8000000000005,-14.3999999999999,39
453,-65.8000000000009,3.20000000000003,100
454,-65.4000000000009,-15.8999999999999,43
455,-60.400000000001,-2.09999999999997,100
456,-54.1000000000009,-8.19999999999996,100
457,-78.6000000000002,-0.399999999999974,96
458,-51.6000000000008,-13.0999999999999,0
459,-52.3000000000009,-8.09999999999996,100
460,-68.8000000000008,-14.6999999999999,100
461,-41.3000000000007,-11.3,44
462,-73.6000000000005,-1.29999999999997,100
463,-72.9000000000005,-15.8999999999999,0
464,-72.3000000000006,-16.0999999999999,0
465,-42.1000000000007,-13.5999999999999,0
466,-71.9000000000006,2.10000000000003,100
467,-73.5000000000005,5.80000000000002,96
468,-64.900000000001,-0.399999999999974,100
469,-47.4000000000008,-14.9999999999999,0
470,-40.8000000000007,-9.19999999999996,0
471,-47.3000000000008,-19.4,0
472,-75.0000000000004,-15.1999999999999,0
473,-56.5000000000009,-5.19999999999997,100
474,-70.2000000000007,-4.39999999999998,100
475,-57.3000000000009,3.90000000000003,100
476,-42.6000000000007,-21.2,0
477,-63.700000000001,-16.3999999999999,0
478,-41.8000000000007,-7.59999999999996,0
479,-51.6000000000008,-11.7999999999999,0
480,-75.7000000000004,6.20000000000002,96
481,-72.5000000000005,-4.39999999999998,100
482,-45.7000000000008,-11.9999999999999,43
483,-66.3000000000009,4.40000000000003,62
484,-50.6000000000008,-0.599999999999974,100
485,-45.0000000000008,-15.0999999999999,0
486,-60.300000000001,-3.69999999999998,51
487,-61.500000000001,-16.7999999999999,100
488,-53.7000000000009,-3.69999999999998,98
489,-67.2000000000008,2.60000000000003,100
490,-54.8000000000009,5.30000000000002,100
491,-43.6000000000007,-14.6999999999999,0
492,-48.8000000000008,-12.7999999999999,0
493,-52.4000000000009,4.10000000000003,93
494,-53.4000000000009,-16.9999999999999,0
495,-56.9000000000009,-3.89999999999998,100
496,-55.2000000000009,4.00000000000003,100
497,-64.500000000001,-4.19999999999998,100
498,-56.3000000000009,1.30000000000003,100
499,-75.4000000000004,-4.49999999999998,100
500,-70.0000000000007,-14.8999999999999,0
501,-66.6000000000009,7.50000000000002,0
502,-45.1000000000008,-17.4,0
503,-70.2000000000007,-14.0999999999999,0
504,-68.5000000000008,-8.89999999999996,100
505,-47.4000000000008,-11.1,48
